2017-12-01 21:52:57 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-12-01 21:52:57 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2017-12-01 21:52:57 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:57 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2017-12-01 21:52:57 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
